city,year,weekofyear,total_cases
sj,2008,18,12
sj,2008,19,13
sj,2008,20,12
sj,2008,21,14
sj,2008,22,14
sj,2008,23,15
sj,2008,24,14
sj,2008,25,14
sj,2008,26,15
sj,2008,27,16
sj,2008,28,15
sj,2008,29,15
sj,2008,30,13
sj,2008,31,16
sj,2008,32,14
sj,2008,33,16
sj,2008,34,14
sj,2008,35,15
sj,2008,36,14
sj,2008,37,13
sj,2008,38,14
sj,2008,39,13
sj,2008,40,13
sj,2008,41,15
sj,2008,42,13
sj,2008,43,13
sj,2008,44,15
sj,2008,45,15
sj,2008,46,14
sj,2008,47,13
sj,2008,48,14
sj,2008,49,14
sj,2008,50,12
sj,2008,51,12
sj,2008,52,11
sj,2009,1,9
sj,2009,2,10
sj,2009,3,13
sj,2009,4,12
sj,2009,5,11
sj,2009,6,12
sj,2009,7,11
sj,2009,8,12
sj,2009,9,9
sj,2009,10,11
sj,2009,11,12
sj,2009,12,11
sj,2009,13,11
sj,2009,14,11
sj,2009,15,12
sj,2009,16,12
sj,2009,17,12
sj,2009,18,13
sj,2009,19,13
sj,2009,20,13
sj,2009,21,13
sj,2009,22,12
sj,2009,23,14
sj,2009,24,14
sj,2009,25,14
sj,2009,26,14
sj,2009,27,14
sj,2009,28,15
sj,2009,29,15
sj,2009,30,15
sj,2009,31,15
sj,2009,32,15
sj,2009,33,15
sj,2009,34,15
sj,2009,35,15
sj,2009,36,15
sj,2009,37,15
sj,2009,38,15
sj,2009,39,15
sj,2009,40,15
sj,2009,41,15
sj,2009,42,15
sj,2009,43,15
sj,2009,44,14
sj,2009,45,15
sj,2009,46,14
sj,2009,47,14
sj,2009,48,13
sj,2009,49,13
sj,2009,50,15
sj,2009,51,13
sj,2009,52,14
sj,2010,53,10
sj,2010,1,11
sj,2010,2,11
sj,2010,3,11
sj,2010,4,12
sj,2010,5,12
sj,2010,6,10
sj,2010,7,12
sj,2010,8,13
sj,2010,9,13
sj,2010,10,11
sj,2010,11,11
sj,2010,12,11
sj,2010,13,13
sj,2010,14,12
sj,2010,15,12
sj,2010,16,13
sj,2010,17,15
sj,2010,18,14
sj,2010,19,14
sj,2010,20,14
sj,2010,21,14
sj,2010,22,15
sj,2010,23,15
sj,2010,24,14
sj,2010,25,14
sj,2010,26,14
sj,2010,27,15
sj,2010,28,14
sj,2010,29,15
sj,2010,30,14
sj,2010,31,15
sj,2010,32,16
sj,2010,33,16
sj,2010,34,14
sj,2010,35,16
sj,2010,36,15
sj,2010,37,15
sj,2010,38,15
sj,2010,39,15
sj,2010,40,15
sj,2010,41,14
sj,2010,42,13
sj,2010,43,14
sj,2010,44,15
sj,2010,45,14
sj,2010,46,15
sj,2010,47,14
sj,2010,48,14
sj,2010,49,10
sj,2010,50,13
sj,2010,51,12
sj,2011,52,13
sj,2011,1,13
sj,2011,2,11
sj,2011,3,12
sj,2011,4,12
sj,2011,5,12
sj,2011,6,12
sj,2011,7,11
sj,2011,8,11
sj,2011,9,12
sj,2011,10,11
sj,2011,11,12
sj,2011,12,10
sj,2011,13,10
sj,2011,14,11
sj,2011,15,12
sj,2011,16,12
sj,2011,17,13
sj,2011,18,13
sj,2011,19,14
sj,2011,20,11
sj,2011,21,12
sj,2011,22,14
sj,2011,23,13
sj,2011,24,13
sj,2011,25,14
sj,2011,26,15
sj,2011,27,14
sj,2011,28,14
sj,2011,29,14
sj,2011,30,15
sj,2011,31,14
sj,2011,32,14
sj,2011,33,14
sj,2011,34,14
sj,2011,35,14
sj,2011,36,15
sj,2011,37,15
sj,2011,38,14
sj,2011,39,14
sj,2011,40,13
sj,2011,41,15
sj,2011,42,14
sj,2011,43,15
sj,2011,44,13
sj,2011,45,13
sj,2011,46,16
sj,2011,47,14
sj,2011,48,13
sj,2011,49,12
sj,2011,50,13
sj,2011,51,14
sj,2012,52,13
sj,2012,1,13
sj,2012,2,12
sj,2012,3,13
sj,2012,4,10
sj,2012,5,12
sj,2012,6,11
sj,2012,7,12
sj,2012,8,10
sj,2012,9,12
sj,2012,10,11
sj,2012,11,12
sj,2012,12,12
sj,2012,13,11
sj,2012,14,11
sj,2012,15,13
sj,2012,16,11
sj,2012,17,12
sj,2012,18,14
sj,2012,19,13
sj,2012,20,15
sj,2012,21,12
sj,2012,22,14
sj,2012,23,13
sj,2012,24,14
sj,2012,25,14
sj,2012,26,14
sj,2012,27,15
sj,2012,28,15
sj,2012,29,15
sj,2012,30,15
sj,2012,31,15
sj,2012,32,15
sj,2012,33,15
sj,2012,34,16
sj,2012,35,13
sj,2012,36,15
sj,2012,37,15
sj,2012,38,14
sj,2012,39,16
sj,2012,40,14
sj,2012,41,15
sj,2012,42,14
sj,2012,43,15
sj,2012,44,15
sj,2012,45,15
sj,2012,46,15
sj,2012,47,15
sj,2012,48,15
sj,2012,49,13
sj,2012,50,15
sj,2012,51,14
sj,2013,1,13
sj,2013,2,14
sj,2013,3,14
sj,2013,4,12
sj,2013,5,12
sj,2013,6,11
sj,2013,7,11
sj,2013,8,12
sj,2013,9,13
sj,2013,10,12
sj,2013,11,11
sj,2013,12,12
sj,2013,13,12
sj,2013,14,12
sj,2013,15,13
sj,2013,16,13
sj,2013,17,12
iq,2010,26,6
iq,2010,27,5
iq,2010,28,5
iq,2010,29,3
iq,2010,30,4
iq,2010,31,4
iq,2010,32,4
iq,2010,33,6
iq,2010,34,5
iq,2010,35,6
iq,2010,36,7
iq,2010,37,7
iq,2010,38,4
iq,2010,39,5
iq,2010,40,8
iq,2010,41,5
iq,2010,42,5
iq,2010,43,7
iq,2010,44,6
iq,2010,45,3
iq,2010,46,5
iq,2010,47,4
iq,2010,48,8
iq,2010,49,7
iq,2010,50,5
iq,2010,51,6
iq,2011,52,6
iq,2011,1,5
iq,2011,2,7
iq,2011,3,5
iq,2011,4,6
iq,2011,5,4
iq,2011,6,5
iq,2011,7,5
iq,2011,8,5
iq,2011,9,5
iq,2011,10,6
iq,2011,11,4
iq,2011,12,6
iq,2011,13,5
iq,2011,14,4
iq,2011,15,5
iq,2011,16,6
iq,2011,17,5
iq,2011,18,5
iq,2011,19,4
iq,2011,20,6
iq,2011,21,6
iq,2011,22,7
iq,2011,23,5
iq,2011,24,5
iq,2011,25,4
iq,2011,26,5
iq,2011,27,6
iq,2011,28,3
iq,2011,29,3
iq,2011,30,4
iq,2011,31,2
iq,2011,32,3
iq,2011,33,5
iq,2011,34,4
iq,2011,35,3
iq,2011,36,4
iq,2011,37,7
iq,2011,38,4
iq,2011,39,6
iq,2011,40,2
iq,2011,41,5
iq,2011,42,8
iq,2011,43,2
iq,2011,44,2
iq,2011,45,4
iq,2011,46,6
iq,2011,47,5
iq,2011,48,5
iq,2011,49,6
iq,2011,50,4
iq,2011,51,4
iq,2012,52,6
iq,2012,1,6
iq,2012,2,5
iq,2012,3,5
iq,2012,4,4
iq,2012,5,5
iq,2012,6,7
iq,2012,7,5
iq,2012,8,6
iq,2012,9,4
iq,2012,10,5
iq,2012,11,5
iq,2012,12,4
iq,2012,13,6
iq,2012,14,4
iq,2012,15,6
iq,2012,16,5
iq,2012,17,4
iq,2012,18,5
iq,2012,19,2
iq,2012,20,4
iq,2012,21,4
iq,2012,22,5
iq,2012,23,5
iq,2012,24,2
iq,2012,25,2
iq,2012,26,4
iq,2012,27,2
iq,2012,28,4
iq,2012,29,5
iq,2012,30,0
iq,2012,31,3
iq,2012,32,2
iq,2012,33,3
iq,2012,34,2
iq,2012,35,6
iq,2012,36,6
iq,2012,37,4
iq,2012,38,5
iq,2012,39,5
iq,2012,40,4
iq,2012,41,7
iq,2012,42,6
iq,2012,43,6
iq,2012,44,4
iq,2012,45,6
iq,2012,46,7
iq,2012,47,7
iq,2012,48,5
iq,2012,49,6
iq,2012,50,7
iq,2012,51,6
iq,2013,1,6
iq,2013,2,6
iq,2013,3,6
iq,2013,4,6
iq,2013,5,6
iq,2013,6,6
iq,2013,7,6
iq,2013,8,6
iq,2013,9,4
iq,2013,10,5
iq,2013,11,6
iq,2013,12,7
iq,2013,13,5
iq,2013,14,5
iq,2013,15,6
iq,2013,16,6
iq,2013,17,5
iq,2013,18,1
iq,2013,19,5
iq,2013,20,5
iq,2013,21,5
iq,2013,22,6
iq,2013,23,4
iq,2013,24,3
iq,2013,25,4
iq,2013,26,3
