building_id,damage_grade
300051,3
99355,3
890251,3
745817,1
421793,3
871976,3
691228,1
896100,3
343471,3
766647,3
800548,1
652685,2
590834,2
612530,2
535718,1
269418,3
281421,3
797571,3
216579,3
81554,3
132785,2
976125,3
851237,3
322922,3
786774,2
922680,2
134349,3
551456,3
194812,2
520031,3
765502,2
517764,2
174470,2
395012,3
159776,3
62638,3
65760,2
761527,3
37201,3
853163,2
562505,3
349010,3
780817,3
179897,3
845103,2
171560,1
586661,3
84102,1
610806,3
269531,3
3781,2
127674,2
820462,2
955190,2
405557,3
143219,3
360041,1
378036,3
613583,3
992040,2
849585,2
491236,2
847580,3
229211,3
173624,2
642562,2
86467,3
684629,3
304627,1
255913,3
861624,2
367328,1
13216,2
838446,2
981040,2
335849,3
823769,3
666855,3
398783,2
829946,1
326177,3
359387,3
924578,1
712624,1
946541,2
373943,3
865274,1
522404,2
841632,3
649142,3
332157,1
722082,1
279597,3
107512,2
26477,3
138895,3
553866,3
157718,2
582842,3
123399,2
189875,2
70843,1
225218,1
703273,3
245176,3
760257,3
641933,3
76772,3
302226,2
535232,3
311900,2
859468,3
496582,3
970295,1
38184,2
533972,3
787930,1
706637,3
684359,2
744804,2
675284,3
900064,3
13833,3
483231,3
993785,3
91756,2
116435,3
27649,1
806119,3
527762,1
119879,3
521901,3
960588,2
150992,1
136949,3
681857,2
676342,3
85413,3
242230,3
46916,2
343837,3
693348,2
826208,3
639042,1
180348,3
997642,2
1014983,3
995476,2
599482,2
405738,3
209844,2
51119,1
1009242,3
260072,1
504317,3
678345,3
96671,1
738466,2
475174,1
767788,2
73477,1
140388,3
514634,3
59716,3
1038485,2
531485,2
666051,3
799813,1
420703,2
589536,3
661373,3
183074,2
875195,3
734876,2
988161,3
596967,1
370776,3
422000,1
829879,3
622400,3
789622,3
780895,1
14602,3
988846,3
1052375,3
101200,3
1005009,3
892887,3
582579,2
643663,2
420773,3
593771,3
678254,1
842277,3
797666,3
247831,3
987658,1
738804,3
803821,2
450829,3
490713,1
317799,2
260213,3
563507,3
890921,3
358475,2
877097,3
611331,1
140112,3
489116,2
751219,3
637592,1
363399,3
349807,3
1010213,2
274275,1
422044,3
635742,1
162240,1
380659,3
39235,3
594817,2
276267,3
622421,3
411651,3
528011,2
851293,3
669376,3
1753,1
638718,2
751101,3
559460,3
76515,3
80460,1
553776,3
312150,1
772309,3
437345,3
487537,3
393387,3
891125,1
1023631,2
107261,1
126191,3
137116,3
929006,3
222150,2
910002,3
86044,3
176074,2
153074,1
610702,1
856941,2
617478,3
485928,3
922208,1
306370,3
236678,3
419900,2
699568,3
771219,3
991482,3
211384,2
607193,3
911675,2
526435,3
303475,3
592882,3
715235,3
493169,3
981940,3
991842,3
942957,3
547080,2
636191,3
823756,3
151559,2
467575,1
17506,2
356258,3
235542,2
950690,3
715814,3
755888,1
550420,3
447977,1
490413,3
497546,3
975798,3
27136,3
705001,3
827358,3
812768,3
198545,3
69810,3
687284,3
169271,1
560991,2
89659,2
196494,3
978469,3
541401,2
762181,3
887981,2
974381,3
214827,3
14115,1
150603,3
236827,3
826290,3
1016586,3
417251,2
199989,3
41040,3
329865,3
446380,1
573543,3
79534,2
543998,3
675804,1
631605,2
715430,3
727165,3
453777,3
887410,3
808062,1
1953,3
540933,3
623996,2
352967,3
709290,1
68067,2
968956,3
1012455,3
774608,1
240334,3
696228,3
559784,3
769031,3
474176,3
507163,2
603898,2
759753,3
645053,1
847961,2
163437,3
205013,2
937195,2
817641,2
343929,3
734640,1
906212,3
1001446,3
42716,3
419453,2
340413,3
721995,2
652323,3
458622,3
1005075,3
331964,1
931599,2
180058,3
1035486,3
922921,3
691109,3
244922,3
124734,2
545585,2
51735,2
668804,3
817800,3
505387,1
927828,2
667734,3
71864,1
275425,1
253666,3
38136,3
1045388,1
834056,3
830675,2
172719,3
281148,1
940273,3
321838,3
486381,2
653205,2
835269,3
81648,2
172425,3
727971,3
928472,3
895215,1
1023647,3
997859,2
29304,1
57153,3
528607,3
749817,2
706544,3
760999,3
778465,2
987945,3
177903,3
639871,3
829665,1
823007,1
877761,2
960378,3
994124,3
461282,3
569582,3
474338,3
446462,3
489129,3
66319,2
639951,3
4119,3
359974,1
543191,3
595402,3
1022182,1
216000,3
938235,3
292853,3
904254,3
694129,2
63746,2
925788,2
1040364,3
231970,3
667627,2
24760,3
281116,2
628374,3
927502,2
917261,3
925061,3
754879,3
648017,3
1048403,2
345848,3
206436,3
163503,3
612314,3
319962,3
652056,2
1014522,3
13140,3
214595,3
766431,3
127828,3
762655,3
79942,3
531579,2
762192,3
